Author,Title,Journal,Year,Link
"Hartman, Michelle","Gender, Genre, and the (Missing) Gazelle: Arab Women Writers and the Politics of Translation"," Feminist Studies, vol. 38, no. 1",2012,http://www.jstor.org/stable/23269168
"Amireh, Amal",Publishing in the West: Problems and Prospects for Arab Women Writers.,Al Jadid: A Review and Record of Arab Culture and Arts,,https://www.aljadid.com/content/publishing-west-problems-and-prospects-arab-women-writers. 
"Qualey, MLynx",Which Books 'Should' Be Translated from Arabic to English?,ARABLIT & ARABLIT QUARTERLY,21-Apr-11,https://arablit.org/2011/04/16/which-books-should-be-translated-from-arabic-to-english. 
"AbuDaqqa, Miram", Representations of Arab women writers and their texts in the West,,2015,https://www.proquest.com/docview/1707928981/abstract/C8B81124978F4658PQ/1
"Al-Ayoubi, Amal",The reception of arab women writers in the west,,2006, https://www.proquest.com/docview/301696233?parentSessionId=12XP9o8o7MP6I6lzxom1YSgn56byA6IdUe5mRSxUE50%3D&pq-origsite=primo&
"Amireh, Amal",Framing Nawal El Saadawi: Arab Feminism in a Transnational World.,"Signs, vol. 26, no. 1",2000,www.jstor.org/stable/3175385
"Anderson, Alison",Where Are the Women in Translation?,Words Without Borders,,https://www.wordswithoutborders.org/dispatches/article/where-are-the-women-in-translation
"Ayoub, Dima",Politics of Paratextuality: The Glossary between Translation and the Translational.," Journal of Arabic Literature, vol. 51",2020,https://doi.org/10.1163/1570064x-12341399
"Cohen-Mor, Dalya",Arab Women Writers: An Anthology of Short Stories,SUNY PRESS,2005,
"Cooke, Miriam",Telling Their Lives: A Hundred Years of Arab Women’s Writings,"World Literature Today, vol. 60, no. 2",1986,https://doi.org/10.2307/40141684
"Gomaa, Sally, and Chad Raymond",Lost in Non-Translation: Politics of Misrepresenting Arabs,"Arab Studies Quarterly, vol. 36, no. 1",2014,https://doi.org/10.13169/arabstudquar.36.1.0027
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
